City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Atuona,PF,2022-07-11 21:30:34,-9.8,-139.0333,77.41,75,28,15.97
1,Aklavik,CA,2022-07-11 21:33:56,68.2191,-135.0107,62.6,88,75,5.75
2,Arman,RU,2022-07-11 21:33:56,59.7,150.1667,63.03,72,19,3.91
3,Lebu,CL,2022-07-11 21:33:14,-37.6167,-73.65,48.45,74,75,13.44
4,Butaritari,KI,2022-07-11 21:33:57,3.0707,172.7902,82.13,80,100,16.84
5,Lulea,SE,2022-07-11 21:33:57,65.5842,22.1547,60.87,88,79,2.3
6,Cabo San Lucas,MX,2022-07-11 21:32:48,22.8909,-109.9124,97.11,26,40,13.8
7,Nikolskoye,RU,2022-07-11 21:33:58,59.7035,30.7861,64.87,99,100,5.97
8,Nyagan,RU,2022-07-11 21:33:58,62.1406,65.3936,61.72,60,85,2.28
9,La Palma,US,2022-07-11 21:33:59,33.8464,-118.0467,99.97,63,20,11.5
10,Rikitea,PF,2022-07-11 21:30:42,-23.1203,-134.9692,74.73,71,5,13.44
11,Clyde River,CA,2022-07-11 21:33:59,70.4692,-68.5914,44.83,100,100,16.11
12,Muros,ES,2022-07-11 21:34:00,42.7762,-9.0603,67.08,87,19,5.66
13,Great Bend,US,2022-07-11 21:33:54,38.3645,-98.7648,95.13,52,0,26.46
14,Kadur,IN,2022-07-11 21:34:00,13.5533,76.0131,69.3,85,100,15.03
15,Provideniya,RU,2022-07-11 21:31:54,64.3833,-173.3,51.91,76,0,11.18
16,Avarua,CK,2022-07-11 21:31:50,-21.2078,-159.775,77.05,61,75,11.5
17,Hermanus,ZA,2022-07-11 21:33:17,-34.4187,19.2345,54.36,79,10,9.06
18,Seminole,US,2022-07-11 21:31:04,28.7086,-81.2081,93.27,67,0,8.05
19,Lagoa,PT,2022-07-11 21:34:01,39.05,-27.9833,68.09,81,70,8.95
20,Klaksvik,FO,2022-07-11 21:34:01,62.2266,-6.589,52.72,96,100,37.0
21,Chuy,UY,2022-07-11 21:31:56,-33.6971,-53.4616,49.35,95,100,18.12
22,Souillac,MU,2022-07-11 21:34:02,-20.5167,57.5167,70.18,78,75,17.27
23,Punta Arenas,CL,2022-07-11 21:28:32,-53.15,-70.9167,30.31,80,0,12.66
24,Hobart,AU,2022-07-11 21:30:04,-42.8794,147.3294,46.26,90,75,8.05
25,Albany,US,2022-07-11 21:31:02,42.6001,-73.9662,89.17,41,2,6.04
26,Cape Town,ZA,2022-07-11 21:28:46,-33.9258,18.4232,54.1,92,75,9.22
27,Faya,SA,2022-07-11 21:34:03,18.3851,42.4509,66.31,55,100,6.91
28,Kapaa,US,2022-07-11 21:34:03,22.0752,-159.319,82.72,73,100,16.11
29,Tateyama,JP,2022-07-11 21:34:04,34.9833,139.8667,79.11,87,100,2.75
30,Alofi,NU,2022-07-11 21:34:04,-19.0595,-169.9187,75.09,83,40,5.75
31,Grindavik,IS,2022-07-11 21:31:17,63.8424,-22.4338,55.35,87,75,17.27
32,Auki,SB,2022-07-11 21:31:53,-8.7676,160.7034,81.18,74,13,3.22
33,Flinders,AU,2022-07-11 21:30:07,-34.5833,150.8552,45.05,91,100,1.99
