City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
3,Arraial Do Cabo,BR,80.56,clear sky,-22.9661,-42.0278,Pousada Porto Praia
6,Hithadhoo,MV,83.39,overcast clouds,-0.6,73.0833,Scoop Guest House
7,Rikitea,PF,68.14,light rain,-23.1203,-134.9692,People ThankYou
10,Pathein,MM,77.67,overcast clouds,16.7833,94.7333,Pathein Hotel
11,Morwa,IN,78.37,light rain,22.9,73.8333,mahakali maa hotel
12,Lusambo,CD,80.11,broken clouds,-4.9667,23.45,
13,Jamestown,US,80.06,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
16,Hailey,US,86.88,broken clouds,43.5196,-114.3153,Wood River Inn & Suites
17,Eydhafushi,MV,82.99,overcast clouds,5.1033,73.0708,Soneva Fushi
18,Kushima,JP,75.83,moderate rain,31.4583,131.2333,Hanaoka
19,Vaini,TO,73.56,few clouds,-21.2,-175.2,Keleti Beach Resort
21,Pacifica,US,79.68,mist,37.6138,-122.4869,"Pacifica Lighthouse, Trademark Collection by Wyndham"
22,Puerto Ayora,EC,75.16,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
23,Soyo,AO,70.88,clear sky,-6.1349,12.3689,Hospedaria ndozi'ame
30,Avarua,CK,75.25,broken clouds,-21.2078,-159.775,Paradise Inn
36,Umm Kaddadah,SD,80.56,overcast clouds,13.6017,26.6876,
39,Port Blair,IN,77.04,thunderstorm with light rain,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
40,Hami,CN,78.82,clear sky,42.8,93.45,Laoyutang Resort
41,Albany,US,85.59,clear sky,42.6001,-73.9662,
45,Misratah,LY,79.72,clear sky,32.3754,15.0925,Almasa Hotel
46,Katsuura,JP,74.64,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
49,Ust-Kulom,RU,66.31,light rain,61.6864,53.6902,Ip Napalkov Vasiliy Dmitriyevich
51,Los Llanos De Aridane,ES,71.13,few clouds,28.6585,-17.9182,Valle Aridane
53,La Primavera,CO,87.82,broken clouds,5.4906,-70.4092,La Riviera Hotel Colonial
57,Tadine,NC,67.95,clear sky,-21.55,167.8833,
61,Dingle,PH,76.46,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
62,Georgetown,MY,84.88,few clouds,5.4112,100.3354,Cititel Penang
66,Mizdah,LY,78.22,clear sky,31.4451,12.9801,محمدالمبروك الاريقط
69,Sorong,ID,77.04,scattered clouds,-0.8833,131.25,Waigo Splash Hotel
71,La Ronge,CA,80.85,few clouds,55.1001,-105.2842,Northland Motor Hotel
72,Abancay,PE,74.1,broken clouds,-13.6339,-72.8814,Siball Hotel
73,Atherton,GB,65.75,few clouds,53.5237,-2.4935,The Mercury Motel
74,Cabedelo,BR,83.07,clear sky,-6.9811,-34.8339,Pousada Camboinha
75,Kapaa,US,80.92,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
77,Tupa,BR,87.4,broken clouds,-21.9347,-50.5136,Grande Hotel Tamoios
79,Benguela,AO,68.56,scattered clouds,-12.5763,13.4055,Hotel Praia Morena
81,Matara,LK,76.57,scattered clouds,5.9485,80.5353,Amaloh Boutique Resort
83,Torbay,CA,71.76,broken clouds,47.6666,-52.7314,Gallows Cove
85,Tautira,PF,75.6,light rain,-17.7333,-149.15,Pension Oaoa
87,Shimoda,JP,74.1,light rain,34.6667,138.95,Shimoda Tokyu Hotel
89,Muli,MV,83.44,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
93,Trairi,BR,82.89,overcast clouds,-3.2778,-39.2689,janelas do mar
94,Bethel,US,86.65,scattered clouds,41.3712,-73.414,Courtyard by Marriott Danbury
95,Nizhnyaya Tavda,RU,65.84,light rain,57.6731,66.1725,Dom
99,Sehwan,PK,83.95,light rain,26.4279,67.863,Lal Shahbaz Motel STDC
104,Bambous Virieux,MU,70.05,light rain,-20.3428,57.7575,Casa Tia Villa
105,Ciudad Bolivar,VE,86.52,broken clouds,8.1222,-63.5497,Hotel Edi
109,Hilo,US,88.29,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
111,Mahebourg,MU,70.09,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
112,Bani Walid,LY,79.25,clear sky,31.7566,13.9942,منزل مفتاح محمد الزلبي
113,Cockburn Town,TC,76.96,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
115,Ponta Do Sol,PT,77.0,clear sky,32.6667,-17.1,Hotel do Campo
116,Pula,HR,81.16,clear sky,44.8683,13.8481,Park Plaza Histria Pula
117,Camacha,PT,69.22,broken clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
123,Caravelas,BR,75.42,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
126,Chingirlau,KZ,69.66,clear sky,51.095,54.0814,Хостыл Аққу
129,Kahului,US,82.42,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
131,Atuona,PF,76.59,clear sky,-9.8,-139.0333,Villa Enata
132,Namibe,AO,66.83,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
133,Kilindoni,TZ,76.39,light rain,-7.9139,39.6668,Bustani B&B
134,Sao Filipe,CV,75.42,overcast clouds,14.8961,-24.4956,Hotel Xaguate
136,San Cristobal,VE,75.38,scattered clouds,7.7669,-72.225,Pirineos
138,Madang,PG,74.61,overcast clouds,-5.2246,145.7966,Comfort Inn Hotel
142,Sao Pedro Do Sul,BR,65.05,scattered clouds,-29.6206,-54.1789,Sítio Hotel e Eventos
143,Praia,CV,81.14,few clouds,14.9215,-23.5087,LT Aparthotel
144,Naryan-Mar,RU,70.12,broken clouds,67.6713,53.087,Hostel Agat
145,Casablanca,MA,79.02,broken clouds,33.5928,-7.6192,فندق البيت المغربي كازبلانكا
147,Castro,BR,69.89,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
148,Lompoc,US,88.7,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
149,Realeza,BR,74.89,overcast clouds,-25.7689,-53.5325,Hotel Renascer
152,Kavaratti,IN,81.19,broken clouds,10.5669,72.642,Green leaf
153,Tura,IN,76.59,heavy intensity rain,25.5198,90.2201,Hotel RIKMAN Continental
155,Oussouye,SN,86.18,overcast clouds,12.485,-16.5469,Auberge du Routard
157,Cap Malheureux,MU,67.46,moderate rain,-19.9842,57.6142,Pereybere Hotel & Spa
159,Butaritari,KI,81.81,moderate rain,3.0707,172.7902,Isles Sunset Lodge
