City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Rio Grande,BR,-32.035,-52.0986,64.51,96,88,11.72,overcast clouds
1,Saldanha,ZA,-33.0117,17.9442,55.45,80,100,9.08,overcast clouds
2,Solnechnyy,RU,50.7214,136.6319,61.95,97,79,2.66,broken clouds
3,Arraial Do Cabo,BR,-22.9661,-42.0278,80.56,69,0,21.85,clear sky
4,Cherskiy,RU,68.75,161.3,52.07,44,100,2.66,overcast clouds
5,Twentynine Palms,US,34.1356,-116.0542,103.84,24,0,4.0,clear sky
6,Hithadhoo,MV,-0.6,73.0833,83.39,75,100,16.17,overcast clouds
7,Rikitea,PF,-23.1203,-134.9692,68.14,76,100,5.3,light rain
8,Norman Wells,CA,65.282,-126.8329,55.44,58,75,5.75,broken clouds
9,Hermanus,ZA,-34.4187,19.2345,55.8,85,100,10.09,overcast clouds
10,Pathein,MM,16.7833,94.7333,77.67,93,100,2.3,overcast clouds
11,Morwa,IN,22.9,73.8333,78.37,92,100,11.52,light rain
12,Lusambo,CD,-4.9667,23.45,80.11,40,77,0.89,broken clouds
13,Jamestown,US,42.097,-79.2353,80.06,39,100,8.05,overcast clouds
14,Port Alfred,ZA,-33.5906,26.891,56.17,91,11,13.76,few clouds
15,Okhotsk,RU,59.3833,143.3,58.96,91,100,2.24,overcast clouds
16,Hailey,US,43.5196,-114.3153,86.88,42,75,11.5,broken clouds
17,Eydhafushi,MV,5.1033,73.0708,82.99,77,86,9.89,overcast clouds
18,Kushima,JP,31.4583,131.2333,75.83,93,64,4.83,moderate rain
19,Vaini,TO,-21.2,-175.2,73.56,100,20,5.75,few clouds
20,Ilulissat,GL,69.2167,-51.1,60.82,39,40,6.91,scattered clouds
21,Pacifica,US,37.6138,-122.4869,79.68,80,20,13.8,mist
22,Puerto Ayora,EC,-0.7393,-90.3518,75.16,93,60,10.0,broken clouds
23,Soyo,AO,-6.1349,12.3689,70.88,89,2,8.81,clear sky
24,Alice Springs,AU,-23.7,133.8833,35.15,55,0,0.0,clear sky
25,Aykhal,RU,66.0,111.5,50.92,98,100,8.1,moderate rain
26,East London,ZA,-33.0153,27.9116,59.94,88,0,9.22,clear sky
27,Haines Junction,CA,60.7522,-137.5108,55.35,82,100,1.14,overcast clouds
28,Port Hardy,CA,50.6996,-127.4199,59.18,94,100,9.22,light intensity shower rain
29,Valkeala,FI,60.9401,26.7979,57.6,94,0,3.44,clear sky
30,Avarua,CK,-21.2078,-159.775,75.25,60,75,18.41,broken clouds
31,Upernavik,GL,72.7868,-56.1549,47.41,63,0,6.67,clear sky
32,Tilichiki,RU,60.4667,166.1,53.6,82,15,6.38,few clouds
33,Broken Hill,AU,-31.95,141.4333,47.32,37,100,15.1,overcast clouds
34,Tuktoyaktuk,CA,69.4541,-133.0374,39.2,81,75,6.91,broken clouds
35,Yellowknife,CA,62.456,-114.3525,57.72,72,100,2.3,overcast clouds
